method	path	tier	families	category	summary	where
PUT	/ISAPI/System/time/NTPService	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	Set the NTP server parameters: PUT /ISAPI/System/time/NTPService?format=json	anpr:@p38;deepinview:@p49;dvr-pro:@p37;dvr-value:@p37;ipc-value:@p33
GET	/ISAPI/System/time/NTPService/capabilitis	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	Get the capability of NTP server: GET /ISAPI/System/time/NTPService/capabilitis?format=json	anpr:@p38;deepinview:@p49;dvr-pro:@p37;dvr-value:@p37;ipc-value:@p33
GET	/ISAPI/System/time/capabilities	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get the capability of device time synchronization management	anpr:12.1.7.3@p125;deepinview:19.1.8.3@p223;dvr-pro:@p34;dvr-value:@p34;ipc-value:8.1.5.3@p90
PUT	/ISAPI/System/time/localTime	reference	anpr,deepinview,dvr-value,ipc-value	Device (General)	Set device local time	anpr:12.1.7.4@p126;deepinview:19.1.8.4@p224;dvr-value:12.1.7.3@p137;ipc-value:8.1.5.4@p91
GET	/ISAPI/System/time/ntp	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	Get parameters of NTP server mode: GET /ISAPI/System/time/ntp?format=json	anpr:@p38;deepinview:@p49;dvr-pro:@p37;dvr-value:@p37;ipc-value:@p33
PUT	/ISAPI/System/time/ntp	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	Set NTP to server mode: PUT /ISAPI/System/time/ntp?format=json	anpr:@p38;deepinview:@p49;dvr-pro:@p37;dvr-value:@p37;ipc-value:@p33
GET	/ISAPI/System/time/ntp/capabilities	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	Get the capability of server mode: GET /ISAPI/System/time/ntp/capabilities?format=json	anpr:@p38;deepinview:@p49;dvr-pro:@p37;dvr-value:@p37;ipc-value:@p33
GET	/ISAPI/System/time/ntpServers	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get the parameters of a specific NTP (Network Time Protocol) server	anpr:12.1.7.6@p127;deepinview:19.1.8.6@p225;dvr-pro:12.1.7.4@p129;dvr-value:12.1.7.5@p138;ipc-value:8.1.5.6@p92
PUT	/ISAPI/System/time/ntpServers	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Set parameters of all NTP servers	anpr:12.1.7.5@p126;deepinview:19.1.8.5@p224;dvr-pro:12.1.7.3@p128;dvr-value:12.1.7.4@p137;ipc-value:8.1.5.5@p91
GET	/ISAPI/System/time/ntpServers/capabilities	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get the configuration capability of parameters of a specific NTP (Network Time Protocol) server	anpr:12.1.7.10@p131;deepinview:19.1.8.9@p228;dvr-pro:12.1.7.8@p132;dvr-value:12.1.7.9@p142;ipc-value:8.1.5.9@p95
